IP_INDEX,IP_LABEL,RECORDING_SESSION_LABEL,INDEX,BLINK_COUNT,TRIAL_LABEL,block,coloridentifier,conditionidentifier,imagefile,quantidentifier,practicestatus,IP_START_TIME,PUPIL_SIZE_MAX,PUPIL_SIZE_MEAN,PUPIL_SIZE_MAX_TIME,PUPIL_SIZE_MAX_X,PUPIL_SIZE_MAX_Y,REACTION_TIME,PUPIL_SIZE_MIN,PUPIL_SIZE_MIN_TIME,PUPIL_SIZE_MIN_X,PUPIL_SIZE_MIN_Y,correctresponse,ACCURACY,KEY_PRESSED,RT,audiopred
2,Image,subj2,109,1,Trial: 109,4,blue,T,7_blue_9_yellow.jpg,least_6,experimental,20237739,1173,1065.38,20241496,578.4,372.5,.,763,20241076,441.7,681.7,j,1,j,4310,are_blue.wav
2,Image,subj2,110,0,Trial: 110,4,blue,T,3_blue_13_yellow.jpg,least_2,experimental,20256924,1053,896.04,20258510,462.2,454.3,.,768,20257412,476.5,241.5,j,1,j,1922,are_blue.wav
2,Image,subj2,111,0,Trial: 111,4,yellow,T,0_blue_16_yellow.jpg,All,experimental,20272096,826,714.56,20272898,430.4,309.7,.,644,20272290,520.7,389.1,j,1,j,811,are_yellow.wav
2,Image,subj2,112,0,Trial: 112,4,yellow,T,7_blue_9_yellow.jpg,Most,experimental,20286330,1112,1013.07,20288362,581.8,342.2,.,957,20286900,449.7,271.3,j,1,j,2146,are_yellow.wav
2,Image,subj2,113,1,Trial: 113,4,blue,F,7_blue_9_yellow.jpg,Most,experimental,20301435,1072,917.45,20303136,393.4,205.8,.,640,20302762,665.4,663.1,f,1,f,2192,are_blue.wav
2,Image,subj2,114,1,Trial: 114,4,yellow,T,12_blue_4_yellow.jpg,most_5,experimental,20322695,1199,1116.89,20324846,493.6,318.3,.,736,20323814,626.3,708,j,1,j,2303,are_yellow.wav
2,Image,subj2,115,0,Trial: 115,4,blue,F,11_blue_5_yellow.jpg,All,experimental,20338786,1237,1030.49,20340536,497.1,218.1,.,876,20339256,613.9,187.9,f,1,f,1759,are_blue.wav
2,Image,subj2,116,0,Trial: 116,4,yellow,F,16_blue_0_yellow.jpg,Some,experimental,20353457,1038,961.52,20354254,565.4,347,.,907,20353684,511.5,387.6,f,1,f,806,are_yellow.wav
2,Image,subj2,117,0,Trial: 117,4,yellow,F,14_blue_2_yellow.jpg,No,experimental,20367908,1052,905.72,20369076,488.8,356.4,.,728,20367928,502.2,391.5,f,1,f,1173,are_yellow.wav
2,Image,subj2,118,1,Trial: 118,4,blue,F,14_blue_2_yellow.jpg,odd,experimental,20382662,1174,1029.85,20388350,742.4,136.3,.,638,20388684,890.3,850.7,f,1,f,6136,are_blue.wav
2,Image,subj2,119,0,Trial: 119,4,yellow,T,5_blue_11_yellow.jpg,least_10,experimental,20402651,1210,996.16,20404558,465.4,184.7,.,864,20403208,417.1,170,j,0,f,1906,are_yellow.wav
2,Image,subj2,120,0,Trial: 120,4,blue,T,16_blue_0_yellow.jpg,All,experimental,20416785,1309,1251.13,20417936,655.6,387.9,.,1185,20417312,434.3,255.4,j,1,j,1563,are_blue.wav
2,Image,subj2,121,1,Trial: 121,4,yellow,T,11_blue_5_yellow.jpg,least_4,experimental,20430719,1418,1227.7,20435378,485.1,403.3,.,790,20433340,725.8,741.6,j,1,j,4718,are_yellow.wav
2,Image,subj2,122,1,Trial: 122,4,blue,T,14_blue_2_yellow.jpg,least_13,experimental,20447646,1403,1223.39,20450820,556.7,385.7,.,783,20454016,483.2,690.5,j,1,j,7335,are_blue.wav
2,Image,subj2,123,1,Trial: 123,4,yellow,F,2_blue_14_yellow.jpg,odd,experimental,20467668,1303,1142.54,20475652,463.1,387.4,.,661,20475244,851.5,731.2,f,1,f,9544,are_yellow.wav
2,Image,subj2,124,0,Trial: 124,4,blue,F,9_blue_7_yellow.jpg,even,experimental,20489497,1353,1172.79,20493424,411,477.4,.,934,20489516,525.1,360.2,f,1,f,4618,are_blue.wav
2,Image,subj2,125,1,Trial: 125,4,blue,F,13_blue_3_yellow.jpg,most_12,experimental,20506559,1416,1263.22,20512238,340.9,494.9,.,654,20506762,492.2,744.3,f,1,f,5790,are_blue.wav
2,Image,subj2,126,0,Trial: 126,4,yellow,T,15_blue_1_yellow.jpg,least_14,experimental,20524641,1154,1066.12,20525924,742.9,381.8,.,894,20524640,475.1,397.7,j,0,f,1283,are_yellow.wav
2,Image,subj2,127,1,Trial: 127,4,yellow,F,12_blue_4_yellow.jpg,more_than_half,experimental,20541033,1323,1241.05,20542648,451.2,351.8,.,1081,20541050,493,401.1,f,1,f,2874,are_yellow.wav
2,Image,subj2,128,0,Trial: 128,4,blue,T,13_blue_3_yellow.jpg,more_than_half,experimental,20558596,1213,1146.7,20559520,651.6,316.3,.,1071,20558598,526.7,336.2,j,1,j,935,are_blue.wav
2,Image,subj2,129,0,Trial: 129,4,yellow,T,16_blue_0_yellow.jpg,No,experimental,20573868,1158,1088.83,20574930,461,244,.,1050,20574064,507.7,374.9,j,1,j,1062,are_yellow.wav
2,Image,subj2,130,2,Trial: 130,4,blue,T,10_blue_6_yellow.jpg,even,experimental,20587551,1226,1073.73,20591900,676.4,31.2,.,598,20588370,387.6,684.7,j,1,j,4820,are_blue.wav
2,Image,subj2,131,0,Trial: 131,4,blue,T,16_blue_0_yellow.jpg,All,experimental,20605599,1228,1044.91,20606906,485.2,366.7,.,923,20605598,497.2,395.2,j,1,j,2265,are_blue.wav
2,Image,subj2,132,0,Trial: 132,4,blue,T,10_blue_6_yellow.jpg,Most,experimental,20622427,1233,1099.54,20623996,517.1,422.4,.,958,20622428,512.4,375.3,j,1,j,1753,are_blue.wav
2,Image,subj2,133,0,Trial: 133,4,yellow,F,9_blue_7_yellow.jpg,even,experimental,20637666,1219,1041.55,20639704,506.8,482.3,.,775,20637666,526.6,451,f,1,f,3746,are_yellow.wav
2,Image,subj2,134,0,Trial: 134,4,blue,T,5_blue_11_yellow.jpg,odd,experimental,20654375,1215,1058.22,20656986,491.1,319.8,.,877,20654384,514,384.7,j,1,j,2636,are_blue.wav
2,Image,subj2,135,0,Trial: 135,4,yellow,F,3_blue_13_yellow.jpg,No,experimental,20669364,1037,931.18,20670488,573.5,294.5,.,859,20669902,457.5,225.6,f,1,f,1129,are_yellow.wav
2,Image,subj2,136,0,Trial: 136,4,blue,F,11_blue_5_yellow.jpg,even,experimental,20682945,1213,1017.78,20687808,560.7,205.8,.,774,20683422,395,296.7,f,1,f,5017,are_blue.wav
2,Image,subj2,137,0,Trial: 137,4,blue,F,6_blue_10_yellow.jpg,odd,experimental,20701379,1092,1026.81,20704212,721.1,216.3,.,896,20701882,396.1,330.9,f,1,f,3903,are_blue.wav
2,Image,subj2,138,0,Trial: 138,4,blue,T,2_blue_14_yellow.jpg,even,experimental,20717588,1012,892.17,20718708,436.6,280.7,.,804,20717628,500.7,329.6,j,1,j,1120,are_blue.wav
2,Image,subj2,139,1,Trial: 139,4,blue,F,0_blue_16_yellow.jpg,Some,experimental,20731922,1113,1031.75,20733210,519.1,396.3,.,663,20732814,565.9,746.2,f,1,f,1297,are_blue.wav
